animal,content,_id
쥐,오랜 시간을 고민하면서 장기적으로 계획해야 하는 하루가 될 것이다. 노력 없이 얻는 결과는 풍선의 공기처럼 한 순간에 빠져 나가듯이 설익은 결과물은 그리 오래가지 못한다. 잘 알고 지내는 지인이 당신에게 좋은 기회를 주기 위해 당신의 결과물을 고대하고 있다. 기회는 왔을 때 잡아야 한다,
쥐,경쟁을 하게 되더라도 대립보다는 타협과 서로에 대한 조화가 후에 상대방은 물론 당신에게도 좋은 결과로 마무리 될 것이다. 다른 사람을 가르치거나 조언을 해주는 직업을 가진 사람은 오늘만큼은 상대방을 말보다는 자그마한 행동을 보여줌으로써 설득 하는 게 매우 유리하다.,
쥐,이사나 여행에 좋은 길운이나 움직이지 않으면 오히려 흉운 입니다. 이번주는 두 말이 필요 없습니다. 행동하세요. 망설여서 얻을 수 있는 것은 이 세상에 아무 것도 없습니다.,
쥐,뒤늦게 나무가 꽃을 피우는 형상입니다. 보통의 경우보다 다소 힘들게 일이 성취되는 운수이니 뜻한 바를 끝까지 밀고 나갈 수 있는 당신의 굳은 의지가 요구되는 한 달입니다. 초기의 상황에 실망하지 말고 꾸준히 자신의 역할에 충실 하십시오. 늦게 서야 좋은 소식을 기대할 수 있을 것입니다.,
소,"소원하는 것을 위해서라면 무엇보다 심신이 편안해야 원하는 걸 얻을 수 있으니, 마음 속에 두지 말고 할 말이 있으면 사실대로 말하는 게 유리하다. 자신의 마음을 터놓고 이야기 한다면, 상대의 진심을 알게 될 것이다. 가까이 해도 좋으며 도움을 받아 잘 될 것이다.",
소,집안에 슬픔과 기쁜 일이 동시에 발생하니 마음을 잘 다스려야 할 것이다. 자신의 일보다 집안 일에 신경 쓰는 게 집안 뿐 아니라 오히려 훗날 당신의 앞날에 더욱 유리 할 것이다. 당장의 기쁨에 너무 도취되지 않도록 감정을 조절하는 게 좋겠으며 새로운 고민거리는 아직 해결되지 않았으니 마지막까지 최선을 다해라.,
소,"의욕적으로 시작했으나 일이 생각대로 풀리지 않으니 큰 손해를 입게 됩니다. 때로는 열심히 하는 것이 오히려 화를 부르게 되니, 애초에 방향을 잘못 잡고 진행시켰기 때문입니다.",
소,겉으로는 조용한 한 달이 예상됩니다. 물론 보통 때의 일상보다야 다소 여유가 있는 시간이 주어질 것입니다. 그러나 마냥 유유자적한 시간으로 흘려 보내기에는 매우 아까운 시간이며 기회입니다. 모처럼의 차분하고 적요한 환경 속에서 생각과 뜻을 새롭게 정립할 수 있는 시간을 가지십시오.,
호랑이,무슨 일이든지 기초가 약하면 될 일도 이루어지지 않는다. 큰 일을 하기 위해서는 먼저 기초부터 튼튼하게 하는 것이 먼 미래를 위해서 좋다. 교육업 관련 종사자는 대인관계를 조심해야 할 것이다. 뒷거래에 관여하게 된다면 덜미가 잡힐 수 있으니 안 하는 게 좋겠다.,
호랑이,"직장을 다니는 사람이라면 멀지 않아 승진이나 원하는 자리로 전출이 예상되니, 지금의 노력보다 더한 노력을 하는 게 낫겠다. 무엇보다도 적극성에서 인정을 받게 될 가능성이 높으니, 평소보다 좀 더 적극적으로 밀어붙이는 게 좋을 것이다. 관직을 얻거나 시험에 응하려는 사람은 더욱 희망적이다.",
