animal,content,_id
물병자리,친구들에게 뭔가 좋지 않은 일이 벌어졌을 수도 있어요. 당신이 먼저 친구나 지인에게 안부 전화라도 한 번 해보세요. 어렵고 힘들 때 상대방을 도우면 당신도 힘들 때 도움을 받을 수 있어요.,
물병자리,"활동하기에 매우 적합한 때입니다. 심중으로만 계획하던 것들은 마무리하고, 이제 바깥으로 나가 적극적으로 행동하십시오. 오늘 하루, 당신이 들인 노력과 수고 이상으로 풍부한 결실을 약속할 것입니다.",
물병자리,자제와 주의가 요구되는 한 주입니다. 순간적인 판단과 충동으로 일을 감행하거나 매매를 하는 등의 모험은 가급적 피하시기 바랍니다. 무엇보다도 매사에 차분하게 생각할 수 있도록 마음의 평정을 유지하려는 노력이 필요합니다.,
물병자리,시비가 자주 붙게 되는 한 달 이니 여간 주의하지 않아서는 골치 아픈 일에 휘말리는 것을 막을 수 없습니다. 당신이 아무리 참는다 해도 명백한 악의를 가지고 달려드는 사람을 어찌할 수는 없겠네요. 같이 감정을 폭발시켰다가는 수습하기 힘든 사고를 저지를 수도 있으니 당신만이라도 늘 냉정을 유지해야 할 것입니다,
물고기자리,여느 날에 비해 대체로 평안한 하루입니다만 마냥 그것을 즐길만한 여유를 갖기는 어려울 것입니다. 혹시나 곧 닥쳐올 곤란에 대비할 수 있는 충분한 준비의 시간으로 이 하루를 최대한 활용하시기 바랍니다.,
물고기자리,"다른 사람의 도움을 기대하고, 미루려고 한다면 당신은 경험도 결실도 정당하게 얻지 못할 것입니다. 지금은 무엇보다 당신의 실천이 가장 최선이 될 것이니, 남들과 같이 가려고 하지 말고 더 많은 시간과 정성을 쏟아보도록 하세요.",
물고기자리,"억울한 일을 당하게 되나 하소연할 곳이 없으니, 우울하고 씁쓸한 마음을 어디 풀 곳이 없어 더욱 답답해지는 한 주입니다. 분명 당신이 부당한 대우를 받은 것에 틀림없으나 누구 하나 당신을 변호해주는 사람이 없으니, 부조리임을 알지만 타개할 방법이 없음을 알기 때문입니다.",
물고기자리,시작한다고 된다는 보장은 없지만 넋 놓고 보고만 있을 수만은 없어요. 지금 시작하지 않으면 변명조차 하지 못하게 됩니다. 앉아서 생각만 한다고 만들어지지 않아요. 그런데도 시작하고 싶은 마음이 생기지 않으면 먼저 몸이라도 움직이세요. 때로는 몸이 마음을 움직이기도 한답니다.,
양자리,한 낮에 쨍쨍 내리쬐던 강렬한 태양이 서서히 넘어 가면서 점점 그 열기가 사그라지고 있는 형상입니다. 한없이 위로만 솟구치던 운이 그 기를 다해가고 있군요 그동안은 잠시 몸을 사려 피신해 있는 것도 살아가는 지혜일 것입니다.,
양자리,"정말이지 여유 있고 느긋한 자세가 필요한 하루입니다. 혼자서 아무리 속을 태우고 짜증을 내봐도 소용없을 것입니다. 쓸데없는 조바심은 자신에게도, 남들에게도 좋지 않은 인상만을 남길 뿐입니다.",
양자리,새로이 무엇에 도전한다거나 시도하기에는 적절한 시기가 아닙니다. 현재 상황의 유지 만을 목적으로 매사에 임하는 것이 좋을 것이고 괜한 모험이나 도박은 피하는 것이 상책입니다. 그만큼 행동에 있어서도 조심을 기해야 할 것이고 섣불리 판단하거나 타인에게 악감정을 심어주는 일이 없도록 조심하십시오.,
양자리,사방이 높은 벽으로 둘러 쌓인 것 같나요? 가까운 곳에 묘책이 있어요. 밑을 보세요. 아래를 보세요. 빠져나갈 구멍이 보일 거예요. 지금까지 해왔던 관행에 점령당하지 마세요. 반격할 기회예요. 어두울수록 그 빛은 더욱 밝답니다.,
황소자리,"지금까지는 일이 잘 풀리고 내 뜻대로 이루어져서 상당히 즐거웠지만, 세상 일이란 것이 늘 좋을 수는 없는 법입니다. 혼자만의 힘으로는 도저히 타개할 수 없는 상황이 예상됩니다. 아무리 노력을 해도 그 대가가 별로 없습니다.",
황소자리,뜻을 두고 있는 일에 행운의 빛이 비치고 있으니 좋은 결과가 예상됩니다. 하는 일마다 진척이 빠르고 눈에 띄는 성과가 약속되니 주위의 호응도 큽니다. 같이 출발한 주위 사람들보다 한 걸음 앞서 나아가는 하루가 예상됩니다.,
황소자리,당신을 잊지 않고 찾아온 사람을 따뜻하게 맞는 것은 당연한 예의입니다. 그 사람이 멀리서 온 오래된 친구나 지인이라면 맨발로 뛰어나올 듯 반가운 것은 당연한 것일 테지요. 만약 그것을 마음으로 느끼지 못한다면 그것은 당신의 마음이 메말랐다는 증거입니다.,
황소자리,흘린 땀방울이 수확으로 돌아오는 시기입니다. 쉽지 않은 판단으로 인한 마음 고생이 좋은 결실로 보상을 받게 됩니다. 이에 매우 바쁜 시기가 될 수 있습니다. 주변에서도 당신의 수완에 대한 칭찬이 있겠습니다.,
쌍둥이자리,오랫동안 기다려 온 기회를 아깝게 놓치게 될지도 모르니 긴장하고 있는 것이 좋겠습니다. 이제까지의 수고와 노력이 한 순간 실수로 헛되이 되지 않도록 마지막 순간까지 최선을 다해야 한답니다. 오늘은 너무 높은 목표를 세우지도 말고 또 섣부르게 달려들면 안되겠습니다. ,
쌍둥이자리,스스로 매우 고무되어 있는 하루이군요. 자신감과 의욕으로 가득 차 있으니 무엇인가 크게 기대되는 하루입니다. 적극적으로 뜻하는 바를 추진해 보십시오. 마침 귀인이 운수에 들었으니 어려움에 처하더라도 어떤 도움을 기대할 수 있을 것입니다,
쌍둥이자리,"독립을 결정하기에 좋은 시기입니다. 너무 꽉 짜인 틀이 답답하고 당신과는 어딘지 모르게 늘 불협화음처럼 어울리지 않은 불편함을 느끼고 있었다면, 그것은 지금의 직장과 당신이 물과 기름처럼 어울리지 않기 때문입니다.",
쌍둥이자리,이성과의 관계가 안정적으로 되어지는 달입니다. 만약 이전에 못했던 것이 있다면 실천에 옮기셔도 되겠습니다. 사소한 일에 자존심은 걸림돌이 될 것이니 이번만큼은 넣어두시길 바랍니다. 재물에 관련해서는 작은 수익을 위해 큰 욕심 내지 않는 것이 득이 될 것입니다,
